,location,Area Sq.ft,bhk,bath_clean,dates,Title_modify
4463,on request,800,2    ,2,2021-02-16, Lohegaon
4464,The Address,1235,2    ,2,2021-02-16, Wakad
4466,Mantra Essence,604,1    ,2,2021-02-16, Undri
4467,Leisure Town,1470,3    ,3,2021-02-16, Hadapsar
4469,Choice Everest Plaza,892,2    ,2,2021-02-16, Chikhali
4470,Rosewoods,1055,2    ,2,2021-02-16, Kunal Icon Road
4471,DivyAnand Shanti Elixir,913,2    ,2,2021-02-16, Keshav Nagar
4472,La Melosa Hoising Society,995,2    ,2,2021-02-16, Shankar Kalat Nagar
4474,vishal srushti,1200,2    ,2,2021-02-16, Wadgaon Sheri
4475,Kolte Patil Margosa Heights,975,2    ,2,2021-02-16, NIBM
4477,Venkateshwara Heights,586,1    ,1,2021-02-16, Dange Chowk
4478,Laxmi Nagar,547,1    ,1,2021-02-16, Dhanori
4481,Shree Shrusti Apartment,567,1    ,1,2021-02-16, Yewalewadi
4482,Highpoint ITrend Homes,772,2    ,2,2021-02-16, Hinjewadi
4483,Sree Mangal Wisteriaa,1300,2    ,2,2021-02-16, Bhumkar Nagar
4485,rathi villa,935,2    ,2,2021-02-16, Shivane
4486,Anand Classic Apartment,650,1    ,1,2021-02-16, Dange Chowk
4489,khan manzil,600,1    ,1,2021-02-16, Keshav Nagar
4490,balsara apartment,550,1    ,1,2021-02-16, Sangamvadi
4491,Goyal Shree Ganesh Hill View,824,2    ,2,2021-02-16, Charholi Budruk
4493,Bramha Sky City,961,2    ,2,2021-02-16, Dhanori
4494,Gulmohar Complex CHS,585,1    ,1,2021-02-16, Dhanvantari Colony
4495,SKYi Star Towers,778,2    ,2,2021-02-16, Bhukum
4496,Megapolis Splendour,1310,3    ,2,2021-02-16, Hinjewadi
4497,Aram appt.,2100,3    ,3,2021-02-16, Prabhat Road
4498,jai ganesh vishwa Vishrantwadi,1100,2    ,2,2021-02-16, Vishrantwadi
4501,On Req,550,1    ,1,2021-02-16, Pimpri Chinchwad
4502,Ratan Neptune,518,1    ,1,2021-02-16, Hadapsar
4503,Myrah,1110,2    ,2,2021-02-16, Pisoli
4504,Monali Angan,650,1    ,1,2021-02-16, Old Sangvi
4505,Paranjape Blue Ridge,1900,3    ,3,2021-02-16, Hinjewadi
4506,Bhandari Greenfield Society,565,1    ,1,2021-02-16, Magarpatta
4507,Swaraj Colony,380,1    ,1,2021-02-16, Moshi
4510,Gurukrupa Primerose,970,2    ,2,2021-02-16, Ambegaon Budruk
4511,Rahul East view,1300,2    ,2,2021-02-16, Hadapsar
4512,Shiwai Bungalow,550,1   ,1,2021-02-16, Chandan Nagar
4513,M Square Dreamland,550,1    ,1,2021-02-16, Kharadi
4516,Amar Deep CHS,615,2    ,2,2021-02-16, Magarpatta
4517,Paranjape Blue Ridge,1800,3    ,3,2021-02-16, Hinjewadi
4518,Atulya Blue Earth,1000,3    ,3,2021-02-16, Shankar Kalat Nagar
4519,ivana society wakad,1200,2    ,2,2021-02-16, Wakad
4521,Kalpataru Splendour,1073,2    ,2,2021-02-16, Shankar Kalat Nagar
4522,OM Arcade,881,2    ,2,2021-02-16, Katraj
4523,Shri Siddhivinayak Gardenia,1000,2    ,2,2021-02-16, Narhe
4525,Rainbow Glory,650,1    ,1,2021-02-16, Wagholi
4526,Anjana Apartment,600,1    ,2,2021-02-16, Bhekrai Nagar
4527,thorat apartment,550,1    ,1,2021-02-16, Chandan Nagar
4528,tapodham society,450,1    ,1,2021-02-16, Warje
4529,Solitaire supreme apartment,850,2    ,2,2021-02-16," Near Westside mall,behind NIA"
4530,Magarpatta Grevillea,750,2    ,2,2021-02-16, Magarpatta
4531,Rajmayur Housing Society,400,1    ,1,2021-02-16, Erandwana Gaothan
4532,Mangalwadi Society,600,1    ,1,2021-02-16, Gokhale Nagar
4533,Shree Paras Basera,1050,2    ,2,2021-02-16, Lohegaon
4534,Radha Krishna Apartments,600,1    ,1,2021-02-16, Kharadi
4536,Ganesh Chambers,720,2    ,1,2021-02-16, Ambegaon
4538,Swami Samarth Krupa Society,650,1    ,1,2021-02-16, Kasba Peth
4540,Vrundavan Residencies,900,2    ,2,2021-02-16, Dehu
4541,Dharmavat Sunder Samruddhi,589,1    ,1,2021-02-16, Dhayari
4542,Devi Heights,210,1    ,1,2021-02-16, Shaniwar Peth
4543,Tanishq Apartment,1500,2    ,2,2021-02-16, Kharadi
4545,Elegant Residency Apartment,900,2    ,2,2021-02-16, Nigdi
4546,New SKF Colony,750,2    ,2,2021-02-16, Chinchwad
4547,Ajay Residency,710,2    ,1,2021-02-16, Wakad
4548,Castle Coop Society,630,1    ,2,2021-02-16, Near Pheonix Mall
4549,Venus Garden,670,1    ,1,2021-02-16, Kharadi
4550,Pushkardeep,1100,2    ,2,2021-02-15, Pushkardeep
4551,Agarwal Shree Ganesh Park,656,1    ,1,2021-02-15, Undri
4552,Sumangal apartment,650,2    ,1,2021-02-15, Utsav hall
4553,Vilas Javdekar Yashwin Hinjewadi,694,2    ,2,2021-02-15, Hinjewadi Phase 2
4554,M Square Dreamland,550,1    ,1,2021-02-15, Thite Nagar
4555,Chandan Apartment,860,2    ,2,2021-02-15, Vishrantwadi
4557,Morya,400,1    ,1,2021-02-15, Rajendri Nagar
4558,Shram Safalya Apartment,650,1    ,1,2021-02-15, Warje
4559,Fortune Siddhipriya,639,2    ,2,2021-02-15, Handewadi
4560,Nyati Elan,590,2    ,2,2021-02-15, Wagholi
4561,Shree Ganesh Graceland,1755,3    ,3,2021-02-15, Pimple Saudagar
4562,Sanjeev Plaza,810,2    ,2,2021-02-15, Dattanagar
4563,Vrundavan Complex,30,1    ,1,2021-02-15, Manchar
4564,"ASHWINI BLDG, CHANDRALOK NAGRI",730,2    ,1,2021-02-15," Muktai Garden, Dhayri"
4565,Ravi Park,900,2    ,2,2021-02-15, Handewadi
4566,Siddharth Apartment,560,1    ,1,2021-02-15, Bharati Vidyapeeth
4569,Chs Palace Orchid,7534,2    ,2,2021-02-15, Flat
4570,Blue Berry Housing Society,913,2    ,2,2021-02-15, Phursungi
4571,GOLDENCITY,844,2    ,2,2021-02-15," NEAR JAKAT NAKA,LOAGOAN ROAD"
4573,Hill Shire,900,2    ,2,2021-02-15, Wagholi
4574,Zankar Society,1200,3    ,2,2021-02-15, Viman Nagar
4575,Atur James Court,1350,2    ,2,2021-02-15, Viman Nagar
4576,aashirwad bglo,800,1    ,1,2021-02-15, Jai Prakash Nagar
4577,JP Nagar Housing Society,400,1    ,1,2021-02-15, Tingre Nagar
4578,Siddhivinayak Durvankur,800,2    ,1,2021-02-15, Sasane Nagar
4579,Kalapi Aster,486,2    ,2,2021-02-15, Pisoli
4580,Atul Nagar Society,1100,1    ,1,2021-02-15, Warje
4581,Xrbia Hinjewadi,413,1    ,1,2021-02-15, Hinjewadi
4582,1bhk,400,1    ,1,2021-02-15, Kasat Nagar
4583,Ganadhish Empire,1010,1    ,1,2021-02-15, Pimple Saudagar
4586,Manas Park,900,2    ,2,2021-02-15, Sector-16 Chikhali
4587,GK Rose County,1270,3    ,2,2021-02-15, Pimple Saudagar
4588,Kolte park,800,1    ,1,2021-02-15, Khandve Nagar
4591,Kakade Township,800,2    ,1,2021-02-15, Chinchwad
4592,global  e homes,1050,2    ,2,2021-02-15, Hinjewadi Phase 2
4593,Olympia Apartment,1099,3    ,2,2021-02-22, Bhumkar Nagar
4594,Ganraj Heights,700,1    ,2,2021-02-15, Wadgaon Sheri
4595,Kolte Patil Ivy Apartments,1600,3    ,3,2021-02-15, Wagholi
4596,Navyug Colony,170,1    ,1,2021-02-15, Kale Padal
4598,Dreams Rakshak,896,2    ,2,2021-02-15, Wagholi
4599,Shiv Kripa,1600,20    ,10,2021-02-15, Bhosari
4600,Shree Nidhi Apartment,800,2    ,2,2021-02-15, Kothrud
4601,Raviraj Ariiana,1114,2    ,2,2021-02-15, Shree Datta Colony
4603,Goyal Shinde Apartments,2000,3    ,3,2021-02-15, Bopodi
4604,Vastushodh UrbanGram Kirkatwadi,890,2    ,2,2021-02-15, Kirkatwadi
4605,Sukharta Aparment,500,1    ,1,2021-02-15, Pimpri Chinchwad
4607,Ashok Nagar,1050,2    ,2,2021-02-15, Handewadi
4610,Vaishnavi Spring Woods,595,1    ,1,2021-02-15, Hinjewadi
4611,Vinayak Treasure Society,1100,2    ,2,2021-02-15, Kashid Park
4612,Gini Bellissimo Society,2200,4    ,3,2021-02-15, Vishrantwadi
4613,Saheels Calysta,989,2    ,2,2021-02-15, Kaspate Vasti
4614,Naiknavare Swapnapurti,373,1   ,1,2021-02-15, Sasane Nagar
4616,Sukhwani Sepia,1435,3    ,3,2021-02-15, Tathawade
4617,Fortune East Society,2550,3    ,3,2021-02-15, Kharadi
4619,Bhandari Shraddha Heritage,700,1    ,1,2021-02-15, Morwadi
4620,Dreams Elina,553,2    ,1,2021-02-15, Satav Nagar
4621,Ganesh Palace,680,1    ,1,2021-02-15, New Sanghvi
4622,On request,500,1    ,1,2021-02-15, Dattanagar
4623,Ace Meghsparsh,977,2    ,2,2021-02-15, Dhankawadi
4624,Sudarshan Lake Paradise,965,2    ,2,2021-02-15, Wagholi
4625,Ganesh Plaza,850,2    ,1,2021-02-15, Dhankawadi
4626,Flora City,1400,3    ,3,2021-02-15, Talegaon Dabhade
4627,Splendid Courtyard,625,1    ,1,2021-02-15, Lohegaon
4628,Florida County,560,1    ,2,2021-02-15, Keshav Nagar
4629,Dreams Wisteria,1000,2    ,2,2021-02-15, Yewalewadi
4630,Shiv Sai Vishav,1100,2    ,2,2021-02-15, Pimple Saudagar
4631,Chaitanya,1100,2    ,2,2021-02-15, Pimple Gurav
4632,Samarttha Goldville,1045,2    ,2,2021-02-15, Thergaon
4633,Godrej Horizon,640,1    ,1,2021-02-15, Undri
4634,Nilkanth Apartment,613,1    ,1,2021-02-15, Benkar Nagar
4636,Blue Carnation,680,1    ,1,2021-02-15, Hadapsar
4637,Pegasus Megapolis Mystic,790,2    ,2,2021-02-15, Hinjewadi
4638,Charbhuja Paradise,650,1    ,1,2021-02-15, Chakan
4639,Megapolis Sunway,1007,2    ,2,2021-02-15, Hinjewadi
4640,Kolte Patil Margosa Heights,950,2    ,2,2021-02-15, Mohamadwadi
4645,om sai,500,1    ,1,2021-02-15, Tingre Nagar
4648,Neeta chambers,750,1    ,1,2021-02-15, Shivaji Nagar
4649,Golf links co operative society,1330,3    ,3,2021-02-15," Off don bosco road,yerawada"
4650,Leisure Town,1250,2    ,2,2021-02-15, Hadapsar
4652,RPS Homes,950,2    ,2,2021-02-15, Kutwal Colony
4654,"Tilekar Wasti,Tuljai Building.",600,1    ,1,2021-02-15, Hadapsar Magarpatta City
4655,Jai Ganesh Co Operative Society,770,2    ,2,2021-02-15, Sant Tukaram Nagar
4656,On Req,1225,1    ,1,2021-02-15, Old Sangvi
4657,on request,550,1    ,1,2021-02-15, Keshav Nagar
4658,Green Palms,576,1    ,1,2021-02-15, Undri
4659,24K Sereno,1800,3    ,3,2021-02-15, Baner
4661,pearl co operative society wakad,1120,2    ,2,2021-02-15, Wakad
4662,Green Palms,576,1    ,1,2021-02-15, Undri
4663,On Request,900,2    ,2,2021-02-15, Chakan
4664,Narayan Octave,900,2    ,2,2021-02-15, Chakan
4665,Riviera Apartments,725,1    ,1,2021-02-15, Wanwadi
4666,"Apartment/sidharth Nagar Phase 1, Aundh Pune",550,1    ,1,2021-02-15, Aundh
4668,Vihaan Residency,2000,3    ,3,2021-02-15, Giridhar Nagar
4669,Tirupati Campus,720,1    ,1,2021-02-15, Tingre Nagar
4671,Vedant Kingston Serene,750,2    ,2,2021-02-15, Handewadi
4674,Vilas Javdekar Yashwin Hinjewadi,740,2    ,2,2021-02-15, Hinjewadi Phase 2
4676,Aishwaryam Melody,980,2    ,2,2021-02-15, Pradhikaran
4677,Suryodaya Complex,475,1   ,1,2021-02-15, Kalbhor Nagar
4678,Greenwood Society,275,1    ,1,2021-02-15, Manjari Budruk
4681,Calyx Navyangan Kasar Amboli,1013,2    ,2,2021-02-15, Kasar Amboli
4682,Renuka Royal,1040,2    ,2,2021-02-15, Pimpri Chinchwad
4683,Hemangini Row House,1150,2    ,3,2021-02-15, New D P Road
4684,Tirupati Campus,720,1    ,1,2021-02-15, Tingre Nagar
4685,Rupee Housing Society,1000,1    ,1,2021-02-15, Pimpri Chinchwad
4686,Urban Nest,812,2    ,2,2021-02-15, Undri
4687,Kukreja Heritage,1050,2    ,2,2021-02-15, Vishrantwadi
4688,Belleza Apartment,1007,2    ,2,2021-02-15, Malwadi
4689,SSD Sai Arcade,1013,2    ,2,2021-02-15, Bhujbal Vasti
4690,Madhuban Silver Line,1475,3    ,3,2021-02-15, Viman Nagar
4691,Siddhivinayak Aspiria,860,2    ,2,2021-02-15, Hinjewadi
4692,Yashraj Green Castle,640,1    ,1,2021-02-15, Hadapsar
4696,Aditya Apartment,900,2    ,1,2021-02-15, Vishal Nagar
4697,Trimurti Housing Society,650,2    ,1,2021-02-15, Shivtirth Nagar
4698,Trimurti Housing Society,650,2    ,1,2021-02-15, Shivtirth Nagar
4699,Ishwar Sharan,1100,3    ,3,2021-02-14, Koregaon Park
4702,Sara City,900,2    ,1,2021-02-14, Chakan
4703,Skywards Riviera Valentina,1880,2    ,3,2021-02-14, Baner
4704,Riswadkar Prestige Panorama,1000,2    ,3,2021-02-14, Keshav Nagar
4706,Samarttha Goldville,1100,2    ,2,2021-02-14, Thergaon
4707,Kohinoor Tinsel County,436,1    ,2,2021-02-14, Phase-3 Hinjewadi
4708,Parkwayz,1100,2    ,2,2021-02-14, Bhausaheb Kalate Nagar
4709,Nisarg Hardik Phase 1,1075,2    ,2,2021-02-14, Krushna Colony
4710,Shri Morya Gosavi Raj Park,1200,1    ,1,2021-02-14, Chinchwad
4711,Sunshine,1000,2    ,2,2021-02-14, Aundh
4713,Baliraj Colony,400,1   ,1,2021-02-14, Rahatani
4716,Rohan Abhilasha,673,2    ,2,2021-02-14, Wagholi
4717,Datta prasad Housing Society,470,1    ,1,2021-02-14, Chandan Nagar
4718,F5 Felicia,923,2    ,2,2021-02-14, Hadapsar
4719,DS Sarita Kunj,780,2    ,1,2021-02-14, Kasarwadi
4720,Goldfinger Avenir,1102,2    ,2,2021-02-14, Shankar Kalat Nagar
4721,Mira Condominiums,2100,3    ,3,2021-02-14, Kalyani Nagar
4722,sai santosh park,700,2    ,1,2021-02-14, Kalewadi
4723,Tulsi Apartment,500,1    ,1,2021-02-14, Yashwantrao Chavan Natya Graha
4724,Samruddhi Complex,600,1    ,1,2021-02-14, Near Pandavnagar police station
4725,Saarrthi Sovereign,1134,2    ,2,2021-02-14, Hinjewadi
4726,Gurukrupa,1100,2    ,2,2021-02-14," Sasane colony, Keshav nagar, Mundhwa, Pune"
4727,Pristine Prolife Phase 3,1500,2    ,2,2021-02-14, Shankar Kalat Nagar
4729,Viva Sarovar,915,2    ,2,2021-02-14, Ambegaon Budruk
4730,Sonigara Classic,795,2    ,1,2021-02-14, Akurdi
4731,G corp Hill Side,1000,2    ,2,2021-02-14, Hadapsar Indutrial Estate
4732,"21/2 Sahajanand Society, kothrud",400,1    ,2,2021-02-14, Mahatma Society
4733,The Leaf,1005,2    ,2,2021-02-14, Yewalewadi
4734,Sai Tirupati Greens,992,2    ,2,2021-02-14, Laxmi-Narayan Nagar
4735,Xrbia Hinjewadi,585,2    ,2,2021-02-14, Hinjewadi
4736,Srikanth view society,850,2    ,1,2021-02-14, Sai siddi chauk
4737,Crsytal Avenue,910,2    ,2,2021-02-14, Baner
4739,Aditya shagun apartments,920,2    ,2,2021-02-14, Bavdhan
4740,Ratnprabha Niwas,425,1    ,1,2021-02-14, Warje Malwadi
4741,Xrbia City,546,2    ,2,2021-02-14, Hinjewadi
4742,Xrbia City,442,1    ,1,2021-02-14, Hinjewadi
4743,Dosti Building,595,1    ,1,2021-02-14, Behind Anand Hospital
4744,Green County,890,2    ,2,2021-02-14, Bhekrai Nagar
4745,Palace Orchard Society,1000,2    ,2,2021-02-14, Mohamadwadi
4746,Pearl Tower,1173,2    ,2,2021-02-14, Gadital
4747,"Krushnai heights, Bhugaon",650,1    ,1,2021-02-14, Matalwadi phata
4748,Sai Shraddha,600,1    ,1,2021-02-14, Ambegaon Bk
4749,prabhuchhaya jijamata park,650,1    ,1,2021-02-14, Chinchwad
4750,Shubhashree Residential,1350,3    ,3,2021-02-14, Akurdi
4753,Karmyog Housing Society,650,1    ,1,2021-02-14, Kamgar Nagar
4754,Swapnalok Apartment,930,2    ,2,2021-02-14, Phursungi
4755,Kolte Patil Umang Primo,1000,2    ,2,2021-02-14, Wagholi
4756,Aapal Ghar Kirkawadi Pune,900,2    ,2,2021-02-14, Kirkawadi Pune
4757,Raj Garden,380,1    ,1,2021-02-14, Jadhav Nagar
4759,Mohit Grove,1000,2    ,2,2021-02-14, Near mount Carmel
4760,Magarpatta Cosmos Apartment,1480,3    ,3,2021-02-14, Hadapsar
4761,DHANLAXMI HIEGHTGS,586,1    ,1,2021-02-14, Charholi Kurd
4762,GK Silverland Residency Phase 3,950,2    ,2,2021-02-14, Ravet
4763,"Divya heights, pimple saudagar, pune",2200,3    ,3,2021-02-14, Divya heights
4764,Shree Avdhoot Nivas,585,1    ,1,2021-02-14, Dhanori
4765,Godrej Infinity,869,2    ,2,2021-02-14, Keshav Nagar
4766,Shubh Vihar,705,1    ,2,2021-02-14, Vadgaon Sheri
4767,Radhakrishna Vihar,800,2    ,1,2021-02-14, Nimbaj Nagar
4768,Siddhivinayak Aspiria,860,2    ,2,2021-02-14, Hinjewadi
4769,Motiram Nagar,650,1    ,1,2021-02-14, Warje
4770,vrindavan park,535,1    ,1,2021-02-14, Mahatma Society
4771,Vidyasagar Society,1500,2    ,2,2021-02-14, Sangamvadi
4772,Patil House Kawade Nagar New Sangavi Hdfc Bank Roa,700,1    ,1,2021-02-14, Defence Area
4773,Etasha Co Op Housing Society,562,1    ,1,2021-02-14, Autadwadi Handewadi
4775,Kesar Garden,950,2    ,2,2021-02-14, Indrayani Nagar
4777,Apartment,950,2    ,2,2021-02-14, Yamuna Nagar
4778,Vilas Javdekar Yashwin Hinjewadi,980,2    ,2,2021-02-14, Hinjewadi Phase 2
4779,Suman Shilp Phase 2,625,1    ,1,2021-02-14, Parande Nagar
4780,Shree Payal Co-op Housing Society,650,2    ,1,2021-02-14, Kothrud
4781,Sancheti Belcastel,1100,2    ,2,2021-02-14, Keshav Nagar
4782,Aero Nest,1054,2    ,2,2021-02-14, Undri
4783,Sbi cooperative hsg soc,1350,2    ,2,2021-02-14, Panchawati
4784,Aayush Park II Society Talegaon Dabhade,590,1    ,1,2021-02-14, Talegaon Dabhade
4786,Om Sai Dham,1800,4    ,2,2021-02-14, Sector No-28 Pradhikaran
4788,Brookfield willows pisoli,950,2    ,2,2021-02-14, Undri pisoli road
4789,Runwal Seagull,1048,1    ,2,2021-02-14, Handewadi
4790,Mirchandani Palms,1150,2    ,2,2021-02-14, Pimple Saudagar
4791,Paranjape Blue Ridge,600,1    ,1,2021-02-14, Hinjewadi
4792,Kumar Princeville,1300,2    ,2,2021-02-14, Moshi
4793,Happy Thoughts building,450,1    ,1,2021-02-14, Kalewadi Phata
4794,Megapolis Sangria Towers,1640,3    ,3,2021-02-13, Phase-3 Hinjewadi
4795,Aishwaryam Greens Society,610,2    ,2,2021-02-13, Wakad
4796,Royal Orange County,850,2    ,2,2021-02-13, Rahatani
4797,Spring Glory,950,2    ,2,2021-02-13, Wadgaon Sheri
4798,Magarpatta Annex,950,2    ,2,2021-02-13, Magarpatta
4799,Vishal Belleza,1130,2    ,2,2021-02-13, Hadapsar
4800,Pristine prolife wakad,1140,2    ,2,2021-02-13, Postal Colony
4801,Prathmesh Heights,1050,2    ,2,2021-02-13, Kasba Peth
4802,Choudjary Park Wakad,1800,2    ,3,2021-02-13, Bhausaheb Kalate Nagar
4803,Kharde Patil Chaitanya Vihar,1339,2    ,2,2021-02-13, Chinchwad
4804,"Kesar Sonigara , wakad",1400,3    ,3,2021-02-13, Kaspate Vasti wakad
4805,Vastushree Adrina,1275,3    ,3,2021-02-13, Vastushree Adrina
4806,R K Sadan,10225,2    ,2,2021-02-13, Vishrantwadi
4807,Salunkhe Natasha,850,2    ,2,2021-02-13, Aundh
4808,Capital Tower,1480,3    ,3,2021-02-13, Wakad
4810,Yash Orchid,1170,2    ,2,2021-02-13, Baner
4811,Kolte Patil Life Republic,1200,2    ,2,2021-02-13, Hinjewadi
4812,BU Bhandari Acolade,1250,2    ,2,2021-02-13, Kharadi
4813,"Sai Nisarg Park, Wadhwani Construction",850,2    ,2,2021-02-13, Pimple Saudagar
4814,Nirvaan Oneness,500,1    ,1,2021-02-13, Wakad
4815,Mittal Parkwayz,400,1   ,1,2021-02-13, Wakad
4816,Blue Line,900,2    ,2,2021-02-13, Viman Nagar
4817,Mauli Vihar Apartment,1400,2    ,2,2021-02-13, Kothrud
4818,Ahura Moghul Garden,1300,2    ,2,2021-02-13, Koregaon Park
4819,Ayodhya Nagari Shinde Gardens,900,2    ,2,2021-02-13, Bopodi
4820,Paranjape Richmond Park,900,2    ,2,2021-02-13, Jyotiba Colony
4821,Hill View Residency,1250,2    ,2,2021-02-13, Baner
4822,Jai Ganesh Varadhast Pimpri,1130,3    ,3,2021-02-13, Gandhi Nagar
4823,GK Daffodils,1700,3    ,3,2021-02-13, Kunj Colony
4824,Sollana Society,900,1    ,2,2021-02-13, Thergaon
4825,"Fulora Building, Pradhikaran, Yamuna Nagar",750,2    ,1,2021-02-13, Yamuna Nagar
4826,Vardhaman Residency,700,2    ,2,2021-02-13, Kaspate Vasti
4827,Madhuban Society,850,2    ,2,2021-02-13, Vishrantwadi
4829,Sonigara Zinnia,980,2    ,2,2021-02-13, Kiwale
4831,veena apartments,650,2    ,2,2021-02-13, Karve Nagar
4832,JK2 Shivangan,1000,2    ,2,2021-02-13, Kaspate Vasti
4833,Konark Krish 2,1280,2    ,2,2021-02-13, Keshav Nagar
4834,Megapolis Sangria Towers,1200,2    ,2,2021-02-13, Hinjewadi
4835,Lalvani Vastu,1150,2    ,2,2021-02-13, Viman Nagar
4836,Shahaji Raje Bhosale Nagar,1500,3    ,3,2021-02-13, Bhosale Nagar
4837,Su Casa,2100,3    ,3,2021-02-13, Bhausaheb Kalate Nagar
4838,Pethkar Siyona,1309,3    ,2,2021-02-13, Punawale
4839,Air Castles,930,2    ,2,2021-02-13, Hinjewadi Phase 2
4840,Ushakkal Appartment,1100,2    ,2,2021-02-13, Model Colony
4842,Pinak Society,800,1    ,2,2021-02-13, Maruti Suzuki Showroom Viman Nagar
4843,My World,1440,3    ,3,2021-02-13, Balewadi High Street
4844,Samartha Krupa,1400,1    ,1,2021-02-13, Tingre Nagar
4845,Shri Mahaganesh Nagri Society,1100,2    ,2,2021-02-13, Keshav Nagar
4846,Gayatri Imperial Heights,987,2    ,2,2021-02-13, Pimpri Chinchwad
4847,Gruhakalpa Cooperative Society,1000,2    ,2,2021-02-13, Karve Road
4849,Miami Majestic,1085,2    ,2,2021-02-13, Wadgaon Budruk
4850,Shree Residency,850,2    ,2,2021-02-13, Wagholi
4851,Shirine Garden,3500,4    ,4,2021-02-13, Aundh
4852,Shrinagari Apartment,1000,2    ,2,2021-02-13, Talegaon Dabhade
4853,Goodwill Galaxy,800,1    ,1,2021-02-13, Dhanori
4854,on request,780,2    ,1,2021-02-13, Keshav Nagar
4855,Maple Aapla Ghar Kirkitwadi,666,1    ,1,2021-02-13, Kirkatwadi
4857,Empire Estate Federation 1,630,1    ,1,2021-02-13, Chinchwad
4858,Gurukurpa,700,1    ,1,2021-02-13, Bhalekar Nagar
4859,Sai Eshanya,1321,3    ,2,2021-02-13, Balewadi
4860,bhujabal apartment,280,1    ,2,2021-02-13, Yerwada
4861,Prathamesh Deep,1300,3    ,3,2021-02-14, Salisbury Park
4866,Ameeta CHS,750,2    ,2,2021-02-13, Shahunagar
4867,amarai society,650,1    ,2,2021-02-13, Narhe
4868,Bansal Shiva Heights,1160,2    ,2,2021-02-13, Pimple Saudagar
4869,Paranjape Blue Ridge,1035,2    ,2,2021-02-13, Hinjewadi
4870,Shivanjali Apartment,850,1    ,1,2021-02-13, Wireless Colony
4873,Marvel Ganga Fria Phase 1,1255,2    ,2,2021-02-13, Wagholi
4874,Girishobha Apartment,550,1    ,1,2021-02-13, Kothrud
4875,Gayatri Imperial Heights,987,2    ,2,2021-02-13, Pimpri Chinchwad
4876,D.S. Srushti,658,1    ,1,2021-02-13, Kutwal Colony
4877,Gulmohor County,1000,2    ,2,2021-02-13, Talegaon Dabhade
4878,Pathan Recidency,700,1    ,1,2021-02-13, Tingre Nagar
4879,Dream Home Housing Society,1200,2    ,2,2021-02-13, Somatane
4880,Icon Linera,1600,3    ,3,2021-02-13, Karpe Nagar
4881,Om The Island,1100,2    ,2,2021-02-13, Wakad
4882,The Leaf,1050,2    ,2,2021-02-13, Yewalewadi
4884,Amanora Future Towers,608,1    ,1,2021-02-13, Hadapsar
4885,Kohinoor Tinsel County,444,1    ,2,2021-02-13, Phase-3 Hinjewadi
4886,Popular Giridhar Nagar Society,850,2    ,2,2021-02-13, Giridhar Nagar
4887,JW Marriott,600,1    ,1,2021-02-13, Senapati Bapat Road
4888,Pratik Nagar,525,1    ,1,2021-02-13, Vishrantwadi
4889,Radhe Shyam Society,470,1    ,1,2021-02-13, Indira Nagar Chinchwad
4890,Sagar Residency,942,2    ,1,2021-02-13," Sagar Residency,BhekraiNagar,Hadapsar"
4891,Rama Melange Residences,975,2    ,2,2021-02-13, Hinjewadi
4892,Devi Heights,400,1    ,1,2021-02-13, Shaniwar Peth
4894,milind ozone westend,900,2    ,2,2021-02-13, Swaraj Nagari
4895,Hermes Heritage,650,1    ,2,2021-02-13, Shastri Nagar
4896,Shripal Plaza,450,1    ,1,2021-02-13, Shaniwar Peth
4897,Megapolis Sangria Towers,1495,3    ,3,2021-02-13, Hinjewadi
4898,Pandurang Krupa Mhalunge Nande Rd Pune411045,650,1    ,1,2021-02-13, Mahalunge
4899,Aishwaryam Hamara,730,2    ,2,2021-02-13, Chikhali
4901,Pharande Woodsville,990,2    ,2,2021-02-13, Moshi
4902,The Grove,900,2    ,2,2021-02-13, Pimpri Chinchwad
4903,Jai Santoshi Maa Heights,500,1    ,2,2021-02-13, Marunji
4904,GK Rajaveer Palace 1 and 2,1100,3    ,3,2021-02-13, Pimple Saudagar
4906,Goel Ganga Aashiyana,585,1    ,1,2021-02-13, Chinchwad
4907,Shree Ganesh Swapnapurti Heights,855,2    ,2,2021-02-13, Kirkatwadi
4908,On request,950,2    ,1,2021-02-13, Mundhwa
4909,Kumar Samruddhi,640,1    ,1,2021-02-13, Tingre Nagar
4910,Atria Grande,804,2    ,2,2021-02-13, Autadwadi Handewadi
4911,Kamlarj,9687,2    ,2,2021-02-13, Dighi
4912,Kumar Damodar Society,550,1    ,1,2021-02-13, Bibwewadi
4915,Virat Soc,650,1    ,1,2021-02-13, Pimpri Chinchwad
4916,Raviraj Ariiana,1114,2    ,2,2021-02-13, Shree Datta Colony
4917,Renuka Gulmohar,1000,2    ,2,2021-02-13, Morwadi
4918,Lakshdeep palace,1250,3    ,2,2021-02-13, Pimple Saudagar
4919,TCG The Crown Greens,1080,2    ,2,2021-02-13, Hinjewadi Phase 2
4921,Megapolis Sangria Towers,1215,3    ,3,2021-02-13, Hinjewadi
4922,Commanders Ayush Park,1500,2    ,2,2021-02-13, Talegaon
4923,Bramhacorp F Residences,1385,2    ,2,2021-02-13, Kalyani Nagar
4926,Saiprasad co op hsg society,525,1    ,1,2021-02-13," kumbre township, dp road, kothrud"
4927,CGHS True Friends Apartments,1050,2    ,2,2021-02-13, Moshi
