,location,Area Sq.ft,bhk,bath_clean,dates,Title_modify
179,Suyog Space,750,2    ,2,2021-03-16, Wakad
180,Unmesh Apartment,600,1    ,1,2021-03-16, Hadapsar
181,Hill Shire,573,1    ,1,2021-03-16, Wagholi
182,krishna heritage,900,2    ,1,2021-03-16, Kiwale
183,Essen Aishwaryam Comfort,927,2    ,2,2021-03-16, Akurdi
184,Neco Gardens,500,1    ,1,2021-03-16, Sakore Nagar
185,M,706,2    ,2,2021-03-16, Pimpri
186,Mohan Nagar CHS,900,2    ,2,2021-03-16, Baner
189,Green City Cooperative Housing Society,565,1    ,1,2021-03-16, Handewadi
192,Sai Samarth Sarisha Chs,904,2    ,2,2021-03-16, Punawale
194,Mantra Senses,1164,2    ,2,2021-03-16, Handewadi
195,Shivam Majestica,990,2    ,2,2021-03-16, Swami Vivekanand Nagar
196,Akshay Galaxy,869,2    ,2,2021-03-16, Kondhwa Budruk
197,Parmar Vista Luxuria,926,2    ,2,2021-03-16, Manjri
199,Hitoshi Society,670,1    ,1,2021-03-16," Salisbury Park, Pune"
200,Sujay Windchime Homes,953,2    ,2,2021-03-16, Somatane
203,Star Residency,560,1    ,1,2021-03-16," Keshavnagar, Mundhwa"
204,Atria Grande,835,2    ,2,2021-03-16, Undri
205,Gulmohar Privilege,1000,2    ,2,2021-03-16, Kharadi
206,Pushpanagari Appartment,500,1    ,1,2021-03-16, Rambaug Colony
207,Popular Giridhar Nagar,550,1    ,1,2021-03-16, Popular Nagar Warje
208,Yugal Willed Ways,2600,3    ,4,2021-03-16, Baner
209,Mantra Meera,1200,2    ,2,2021-03-16, Balewadi Phata
210,Sai Niwas,650,1    ,1,2021-03-16, Kashinath Patil Nagar
212,Stand Alone Building,1000,2    ,2,2021-03-16, Chandan Nagar
213,Saad Society,685,1    ,1,2021-03-16, Manaji Nagar
214,Sanyog Residency CHS,825,2    ,1,2021-03-16, Sasane Nagar
215,Sunshine Society,890,2    ,2,2021-03-16, Phursungi
216,Kumar Kul Ecoloch Phase 1,700,2    ,2,2021-03-16, Mahalunge
217,Teerth Aarohi,2200,4    ,3,2021-03-16, Parkhe Vasti
218,Gagan Aakansha,820,2    ,2,2021-03-16, Uruli Kanchan
219,"Balaji Complex, BhartiVidhyapeth",550,1    ,1,2021-03-16, bhartividhyapeth
220,Kumar Pebble Park,800,2    ,2,2021-03-16, Hadapsar
221,Gera Emerald City,1500,3    ,3,2021-03-16, Eon Free Zone
222,Amanora Trendy Homes,1070,3    ,2,2021-03-16, Hadapsar
223,Ajmera Colony,900,2    ,2,2021-03-16, Morwadi
224,HM Royal,940,2    ,2,2021-03-16, Kondhwa Budruk
225,Dynamic Linea,1103,2    ,2,2021-03-16, Satav Nagar
227,Protential tower,1400,2    ,1,2021-03-16, Mauli chowk
228,Nanded City,465,1    ,1,2021-03-16, Sinhgad Road
229,Sukhwani Callisto,1031,1    ,2,2021-03-16, Vishnu Dev Nagar
230,Le Rayon,623,1    ,1,2021-03-16, Pimple Saudagar
232,Chandan Crest,1300,2    ,2,2021-03-15, Vishal Nagar
233,Chamadia Pristine Meadows,914,2    ,2,2021-03-15, Ubale Nagar
234,Laxmisatyam Residency,556,1    ,2,2021-03-15, Madhav Nagar
235,Belvalkar Solacia,956,2    ,2,2021-03-15, Wagholi
237,Bhandari Savannah,600,1    ,2,2021-03-15, Wagholi
238,Bhandari Savannah,650,1    ,2,2021-03-15, Wagholi
239,savanaah,550,1    ,2,2021-03-15, Kharadi Annex
240,kalpana housing society yerwada,750,2    ,2,2021-03-15, Gunjan theatre airport road
241,JCD Park,600,1    ,2,2021-03-15, Pratik Nagar
243,Shah Blossom,540,1    ,2,2021-03-15, Sanjay Park
244,Venkatesh Graffiti,1025,2    ,2,2021-03-15, Keshav Nagar
245,Kumar Pebble Park,750,2    ,2,2021-03-15, Hadapsar
246,Vishrant Society Society Vishrantwadi,450,1    ,1,2021-03-15, Vishrantwadi
