,location,Area Sq.ft,bhk,bath_clean,dates,Title_modify,lat,longi
2062,Effiel City,670,3,2,2021-03-01, Chakan,18.7632075,73.8613203
2063,Shivneri Plaza,480,1,2,2021-03-01, Gujarat Colony,18.5062206,73.8088221
2064,Shivneri Plaza,510,1,2,2021-03-01, Gujarat Colony,18.5062206,73.8088221
2065,karvenagar shahu colony,400,1,1,2021-03-01, Kothrud,18.5073514,73.8076543
2066,Megapolis Sunway,1047,2,2,2021-03-01, Hinjewadi,18.5912716,73.73890899999999
2067,Payal Society,600,1,1,2021-03-01, Kothrud,18.5073514,73.8076543
2068,Geras Adara,900,2,2,2021-03-01, Hinjewadi,18.5912716,73.73890899999999
2069,"368/1, Nana Peth, Ramprasad Chambers",600,1,1,2021-03-01, Nana Peth,18.5144313,73.86538329999999
2070,Xrbia City,580,2,2,2021-03-01, Hinjewadi,18.5912716,73.73890899999999
2071,Indira Shankar Nagari,250,1,1,2021-03-01, Bhusari Colony,18.5082124,73.7904396
2072,Anshul Shree Hans Garden,1055,2,2,2021-03-01, Madhav Nagar,21.1230533,79.0553249
2073,Nisarg Raghvendra,620,1,1,2021-03-01, Nageshwar Nagar,18.6511076,73.8433766
2074,Majestique Imperia,920,2,2,2021-03-01, Phursungi,18.4726725,73.9784573
2075,Kunal Kiran Avenue,1050,2,2,2021-03-01, Pimple Nilakh,18.5790232,73.7859912
2076,Bliss coast,520,1,1,2021-03-01, Ambegaon Bk,18.4458033,73.8507279
2077,Shiva Gangaa,615,1,1,2021-03-01, NIBM,6.9065441,79.87072119999999
2078,Kshitej Anandban Apartment,450,1,1,2021-03-01, Somnath Nagar,18.5581835,73.9216532
2079,Windsor Estate,1700,3,3,2021-03-01, Adarsh Nagar,28.7192604,77.173582
2080,Morya residency,950,2,2,2021-03-01, Near Abhinav College,19.301988,72.8593412
2081,Kunal Kiran Avenue,1050,2,2,2021-03-01, Pimple Nilakh,18.5790232,73.7859912
2082,Sai Balaji Ram Krishna Apartment,850,1,2,2021-03-01, Kharadi,18.5538241,73.9476689
2083,nul,1050,2,2,2021-03-01, Ashoka Nagar,24.5775148,77.7318495
2084,Kohinoor Abhimaan Homes,792,2,2,2021-03-01, Shirgaon,18.0979255,73.62933699999999
2085,Meera Niwas,550,1,1,2021-03-01, Baderaj Colony,18.6051404,73.7878025
2086,Sumangal Residency,542,1,1,2021-03-01, Sus,40.7466478,-73.99335599999999
2087,Kohinoor Tinsel Town Phase 2,780,2,2,2021-03-01, Hinjewadi,18.5912716,73.73890899999999
2088,Clover Acropolis,1224,3,3,2021-03-01, Viman Nagar,18.5679146,73.91434319999999
2089,Shreeram Residency,1000,2,2,2021-03-01, Walhekarwadi,18.6323392,73.7610241
2090,BramhaCorp Meander,1014,2,2,2021-03-01, Kharadi,18.5538241,73.9476689
2091,Shravan,500,1,1,2021-03-01, Pimpri Chinchwad,18.6297811,73.7997094
2092,Dreams Royale,690,1,2,2021-03-01, Rahatani,18.6047038,73.78712949999999
2093,Hill Shire,960,2,2,2021-03-01, Wagholi,18.5807719,73.9787063
2094,PM Oak View Residency,687,1,1,2021-03-01, Thergaon,18.6142654,73.77507460000001
2095,Spring Meadows,650,1,1,2021-03-01, Narhe,18.4464732,73.826375
2096,New Malati Apartment,550,1,1,2021-03-01, Pimpri Chinchwad,18.6297811,73.7997094
2097,Kumar Samruddhi,390,1,1,2021-03-01, Tingre Nagar,18.575865,73.8930827
2098,Aashiyana Triveni,550,1,1,2021-03-01, Bopodi,18.5709235,73.83508309999999
2099,Kanak Society,830,2,2,2021-03-01," border road socity, Dhanori",18.6027924,73.8983205
2100,Arc Gaurav,920,2,2,2021-03-01, Anthon Nagar,18.445948,73.9021788
2101,Rohan Leher,993,2,2,2021-03-01, Baner,18.5590032,73.7867629
2102,On Request,2500,1,1,2021-03-01, Bhosari,18.6320627,73.84679779999999
2103,on request,550,1,1,2021-03-01, Lohegaon,18.5944704,73.9275889
2104,On request,650,1,1,2021-03-01, Rakshak Nagar,18.5511264,73.94406459999999
2105,Akshar Altorios,650,1,2,2021-03-01, Amanora Park,18.520408,73.93989630000002
2106,Aishwaryam Hamara,8072,2,2,2021-03-01, Chikhali,18.6824723,73.8196095
2107,Raviraj Apartment,850,1,2,2021-03-01," Samarth Colony, Vishal Nagar, Aundh Wakad road",18.5885109,73.7811011
2108,Gurukrupa Corner,580,1,1,2021-03-01, Sainath Nagar,18.5404223,73.9286341
2109,Concord Pushpak,933,2,2,2021-03-01, Dhanori,18.5967587,73.896851
2110,Peshwa Complex,550,1,1,2021-03-01, Clover Park,47.1756602,-122.4978426
2111,surabhi apartments,490,1,1,2021-03-01, Warje,18.4864727,73.79683399999999
2112,Vishal Belleza,1007,2,2,2021-03-01, Hadapsar,18.508934,73.92591019999999
2113,ABC Courtyard 15,1075,2,2,2021-03-01, Chikhali,18.6824723,73.8196095
2114,ND Landge Nestworth Society,900,2,2,2021-03-01, Indrayani Nagar,18.638387,73.8457803
2115,Vastushri Ajinkya Darshan,400,1,1,2021-03-01, Kalepadal,18.4869571,73.9433299
2116,Vastushri Ajinkya Darshan,400,1,1,2021-03-01, Kalepadal,18.4869571,73.9433299
2117,Anshul Kanvas,1000,2,2,2021-03-01, Wagholi,18.5807719,73.9787063
2118,Shri Balaji Nirjara Park,900,2,2,2021-03-01, Rahatani,18.6047038,73.78712949999999
2119,Darshan Park Housing Society,450,1,1,2021-03-01, Aundh,18.5601649,73.8031335
2120,Shri Sai Park,500,1,1,2021-03-01, Thergaon,18.6142654,73.77507460000001
2121,Matosree Apartment,500,1,1,2021-03-01, Somnath Nagar,18.5581835,73.9216532
2122,Samruddhi Center,750,1,1,2021-03-01, Kharadi,18.5538241,73.9476689
2123,Ganga Kalash Society,1027,2,2,2021-03-01, Vishrantwadi,18.5726054,73.8782079
2124,seed ifotech,240,1,1,2021-03-01, Wagholi,18.5807719,73.9787063
2125,Indraprasta Society,450,1,1,2021-03-01, Manjri BK,18.5029897,73.9712483
2126,Aditya Complex,1130,3,2,2021-03-01, Pimple Gurav,18.5865962,73.8134424
2127,Swami Krupa,800,1,1,2021-03-01, Rahatani,18.6047038,73.78712949999999
2128,laxmi villas,600,1,1,2021-03-01, Dhanori,18.5967587,73.896851
2129,Chourang Sanskruti,420,1,1,2021-03-01, Hadapsar,18.508934,73.92591019999999
2130,Bhadale Complex,350,1,1,2021-03-01, Uruli Devachi,18.4563105,73.95638319999999
2131,Nagpal Meadows Habitat,1130,2,2,2021-03-01, Baner Pashan Link Road,18.5491105,73.7912815
2132,Naiknavare Shravandhara,700,1,1,2021-03-01, Sasane Nagar,18.4919553,73.9345125
2133,"Rama Group, Capriccio Society",1050,2,2,2021-03-01, Datta Mandir Road,18.6029597,73.7645813
2134,Celestial City,1047,2,2,2021-03-01, Ravet,47.66703210000001,-117.4014343
2135,Dheeraj Jade Residences,750,2,2,2021-03-01, Wagholi,18.5807719,73.9787063
2136,Magarpatta City Zinnia,550,1,1,2021-03-01, Magarpatta,18.5158057,73.9271644
2137,Runwal Seagull,803,2,2,2021-03-01, Handewadi,18.4542527,73.9315733
2138,Prime Plus 1,1050,2,2,2021-03-01, Pimple Saudagar,18.5986763,73.79783479999999
2139,Prime Plus 1,974,2,2,2021-03-01, Pimple Saudagar,18.5986763,73.79783479999999
2140,GK Jarvari,1050,2,2,2021-03-01, Pimple Saudagar,18.5986763,73.79783479999999
2141,Gokul Nagari,860,2,2,2021-03-01, Pimple Gurav,18.5865962,73.8134424
2142,Vaishnavi Spring Woods,478,1,1,2021-03-01, Hinjewadi,18.5912716,73.73890899999999
2143,kumar pinnacle,1200,2,2,2021-03-01, Dhole Patil Road,18.5349671,73.87672119999999
2144,Gulve Nivas,530,1,1,2021-03-01, Pimple Gurav,18.5865962,73.8134424
2145,Dreams Elina,700,2,1,2021-03-01," Satav Nagar, Handewadi Road, Hadapsar",18.4754257,73.9314782
2146,133 Orange Tree,855,2,2,2021-03-01, Sus,40.7466478,-73.99335599999999
2147,Sai Villa,235,1,1,2021-03-01, Pimpri Chinchwad,18.6297811,73.7997094
2148,Swastik Silvana County,953,2,2,2021-03-01, Alandi,18.6782865,73.89503359999999
2149,Amit Colori,1031,2,2,2021-03-01, Undri,18.4566651,73.9095279
2150,Megapolis Sunway,1205,3,2,2021-03-01, Hinjewadi,18.5912716,73.73890899999999
2151,Aaisaheb,500,1,1,2021-03-01, Azadnagar Kothrud Pune,18.5028847,73.8077192
2152,Lunkad Akash Tower,703,2,2,2021-03-01, Pimple Nilakh,18.5790232,73.7859912
2153,Pride Purple Sapphire Park,1390,3,3,2021-03-01, Wakad,18.6010921,73.7641245
2154,Goel Ganga Orchard,1500,3,3,2021-03-01, Koregaon Park Annexe,18.5320706,73.9154069
2155,Lotus Grace,710,1,1,2021-03-01, Dhanori,18.5967587,73.896851
2156,Dwarkadheesh Residency,940,2,2,2021-03-01, Pimple Saudagar,18.5986763,73.79783479999999
2157,Simple Park Co Operative Housing Society,830,2,2,2021-03-01, Sasane Nagar,18.4919553,73.9345125
2158,Mandar Avenue,714,1,1,2021-03-01, Baner,18.5590032,73.7867629
2159,"Siddhalaxmi Complex, Dattawadi, Akurdi 411035",700,1,1,2021-03-01, Akurdi,18.6504839,73.7785786
2160,Sukhwani Residency,800,2,2,2021-03-01, Dapodi,18.5852963,73.8333804
2161,Gananjay Society,1500,1,1,2021-03-01, Chaitanya Nagar,18.4951012,73.8051458
2162,Castle Royale,920,2,2,2021-03-01, Kutwal Colony,18.600736,73.91607739999999
2163,Gulmohar Helios,800,2,2,2021-03-01, Kharadi,18.5538241,73.9476689
2164,Sarthak CHS Hinjane Mala,710,1,1,2021-03-01, Hingane Mala,18.4956936,73.9319407
2165,Dreams Akruti,955,2,2,2021-03-01, Sasane Nagar,18.4919553,73.9345125
2166,Sheth Beverly Hills,1197,2,2,2021-03-01, Hinjewadi,18.5912716,73.73890899999999
2167,Aditya Comfort Zone,11840,2,2,2021-03-01, Balewadi,18.5788913,73.7706807
2168,Kunal Puram Housing Society,600,1,1,2021-03-01, Phugewadi,18.5869541,73.83455479999999
2169,Windows Society,1550,3,3,2021-03-01, Sus,40.7466478,-73.99335599999999
2170,Nyati Elysia,807,2,2,2021-03-09, Kharadi,18.5538241,73.9476689
2171,Neo City,809,2,2,2021-02-28, Wagholi,18.5807719,73.9787063
2172,Richmond Park Rahatani,560,1,1,2021-02-28, Near Thopate Lawns,18.6029726,73.79023180000002
2173,Cozy Homes,575,2,2,2021-02-28, Wagholi,18.5807719,73.9787063
2174,State Bank Nagar Coop Hsg Society,950,2,2,2021-02-28, Panchawati,26.91,86.52
2175,Premlok Park,1024,2,2,2021-02-28, Chinchwad,18.6297811,73.7997094
2176,Premlok Park,1000,2,2,2021-02-28, Chinchwad,18.6297811,73.7997094
2177,Mittal Pebbles High Mont,872,2,2,2021-02-28, Hinjewadi,18.5912716,73.73890899999999
2178,Megapolis Sparklet,988,2,2,2021-02-28, Hinjewadi,18.5912716,73.73890899999999
2179,Shubhashree Residential,910,2,2,2021-02-28, Akurdi,18.6504839,73.7785786
2180,Mirchandani Palms,1500,2,2,2021-02-28, Pimple Saudagar,18.5986763,73.79783479999999
2181,Darrvesh Amrutyog Homes,450,1,1,2021-02-28, Marunji,18.6124747,73.71542149999999
2182,Satyaraj Aangan,750,2,1,2021-03-12, Hadapsar,18.508934,73.92591019999999
2183,DSK Gandhakosh,700,1,2,2021-02-28, Baner,18.5590032,73.7867629
2184,Galaxy One,1150,2,2,2021-02-28, EON it Park,18.5515387,73.95111519999999
2185,Rakshak nagar gold,550,1,1,2021-02-28, Near eon IT park,18.5515387,73.95111519999999
2186,Sai comforts,1150,2,2,2021-02-28, Old kate pimple road,18.6081238,73.8011245
2187,Apartment,905,2,2,2021-02-28, Shahu colony lane no.1,18.4864261,73.8155056
2188,Kiran Shubhamkaroti,960,2,2,2021-02-28, Sus,40.7466478,-73.99335599999999
2189,Belvalkar Solacia,950,2,2,2021-02-28, Wagholi,18.5807719,73.9787063
2190,Bharati Vihar,1100,2,2,2021-02-28, Bharati Vidyapeeth,18.5118048,73.8431451
2191,Magarpatta City Jasminium,1500,2,2,2021-02-28, Magarpatta,18.5158057,73.9271644
2192,Megapolis Sunway,800,2,2,2021-02-28, Hinjewadi,18.5912716,73.73890899999999
2193,Belvalkar Solacia,980,2,2,2021-02-28, Wagholi,18.5807719,73.9787063
2194,Regency Meadows,1165,2,2,2021-02-28, Madhav Nagar,21.1230533,79.0553249
2195,Harshal Ek Shanti Park,760,2,2,2021-02-28, Narhe,18.4464732,73.826375
2196,Runal Deepmala,900,2,2,2021-02-28, Pimple Saudagar,18.5986763,73.79783479999999
2197,Karan Gharonda,564,1,1,2021-02-28, Sainikwadi,18.5509643,73.9168593
2198,Elite Garden,550,1,1,2021-02-28, Wireless Colony,18.5635597,73.805881
2199,Mont Vert Pristine,1100,2,2,2021-02-28, Chikkalvadi,18.9665005,72.81422479999999
2200,Abhinav The One,1000,2,2,2021-02-28, Bhugaon,18.5011162,73.7507669
2201,Atharva Riddhi Apartment,750,2,2,2021-02-28, Ambegaon Budruk,18.4458033,73.8507279
2202,Pride Panorama CHS,1200,2,2,2021-02-28, Bhageerath,18.5323696,73.8279381
2203,Ashirwad Capital Apartment,600,1,1,2021-02-28, Pimpri Chinchwad,18.6297811,73.7997094
2204,TCG The Cliff Garden,610,2,2,2021-02-28, Phase-3 Hinjewadi,18.5868397,73.68599499999999
2205,shatanand complex,620,2,1,2021-02-28, Gadital hadapsar,18.5009698,73.9429625
2206,Kalpataru Splendour,1457,3,3,2021-02-28, Shankar Kalat Nagar,18.5993483,73.762495
2207,Varanasi Society,890,2,2,2021-02-28, Warje,18.4864727,73.79683399999999
2208,24K Sereno,1905,3,3,2021-02-28, Baner,18.5590032,73.7867629
2209,Ganesh Heritage,1150,2,2,2021-02-28, Dapodi,18.5852963,73.8333804
2210,"Manipushpak Apartment, Dhayari",750,2,1,2021-02-28," Narhe Road, Dhayari",18.450778,73.8193299
2211,Rama Rajhans Residency,1200,2,2,2021-02-28, Aundh,18.5601649,73.8031335
2212,Devki Residence and Commercial,1050,2,2,2021-02-28, Wagholi,18.5807719,73.9787063
2213,Deeshari 1,700,1,1,2021-02-28, Adarsh Colony,29.4763722,77.72088529999999
2214,Suyog Nisarg,560,1,1,2021-02-28, Wagholi,18.5807719,73.9787063
2215,Mangalmurti,2000,2,2,2021-02-28, Sector No-4 Moshi,18.6507099,73.8470523
2216,Kohinoor Tinsel County,640,2,2,2021-02-28, Phase-3 Hinjewadi,18.5868397,73.68599499999999
2217,ambika recedency,550,1,1,2021-02-28, Rahatani,18.6047038,73.78712949999999
2218,Gulmohar Paradise Homes,803,2,2,2021-02-28, Thite Nagar,18.5443244,73.9403908
2219,Swapnashilp Society,860,2,2,2021-02-28, Sharda Colony,18.5730918,73.79348089999999
2220,Pharande L Axis,811,2,2,2021-02-28, Sector-6 Moshi,18.6511076,73.8433766
2221,Vinspa Apartment,1500,3,3,2021-02-28, Boat Club Road,32.8541405,-97.4262846
2222,Hanuman Colony,1000,1,1,2021-02-28, Bijlinagar,18.6441795,73.7707685
2223,Shri Siddhivinayak,650,1,1,2021-02-28, Old Sangvi,18.5729119,73.8183662
2224,Melange Residences,1000,2,2,2021-02-28, Phase-3 Hinjewadi,18.5868397,73.68599499999999
2225,Mahaveer Blue Chip Avenue,800,2,2,2021-02-28, Baner,18.5590032,73.7867629
2226,Vardhaman Township,670,1,1,2021-02-28," Sasane Nagar, Hadapsar",18.4919553,73.9345125
2227,Megapolis Splendour,1250,2,2,2021-02-28, Phase-3 Hinjewadi,18.5868397,73.68599499999999
2228,Muktai nivas,400,1,1,2021-02-28," charwad vasti, vadgoan bk",18.4626439,73.8279976
2229,Air Castles,837,2,2,2021-02-28, Hinjewadi Phase 2,18.596167,73.7153778
2230,JJ The Nest,1015,2,2,2021-02-28, Ravet,47.66703210000001,-117.4014343
2231,Kamalraj Nishigandh,727,1,1,2021-02-28, Dighi,18.6148698,73.8729867
2232,Ajmera Housing Society,1281,3,2,2021-02-28, Pimpri Chinchwad,18.6297811,73.7997094
2233,Swastik Amrai Apartment,1080,2,2,2021-02-28, Ambegaon Budruk,18.4458033,73.8507279
2234,Pristine City,566,1,1,2021-02-28, Bakori,11.5576973,7.424615799999999
2235,Xrbia Township,580,2,2,2021-02-28, Marunji,18.6124747,73.71542149999999
2236,SBM West Wind Park,1040,2,2,2021-02-28, Hinjewadi,18.5912716,73.73890899999999
2237,Vision Indramegh,650,2,2,2021-02-28, Punvale Bazar,18.6391621,73.7404306
2238,Dodke Terrace,800,2,2,2021-02-28, Giridhar Nagar,18.4815302,73.79698139999999
2239,Astoria Royals,1121,2,2,2021-02-28, Ravet,47.66703210000001,-117.4014343
2240,Kalpataru Serenity,980,2,2,2021-02-28, Manjri,18.5234503,73.9853801
2241,"Columbia, Nyati Evara",1100,2,2,2021-02-28, Undri,18.4566651,73.9095279
2242,Samarth Nagar,628,1,1,2021-03-11, Wadgaon Sheri,18.5512771,73.92098940000001
2243,Bombay Sappers Colony,590,1,1,2021-02-28, Wadgaon Sheri,18.5512771,73.92098940000001
2244,Abhinav The One,790,2,2,2021-02-28, Bhugaon,18.5011162,73.7507669
2245,Mantra Blessings,760,2,1,2021-02-28, Wagholi,18.5807719,73.9787063
2246,Skyi First,850,2,2,2021-02-28, Bhukum,18.4942984,73.7220419
2247,Arun Park,500,1,1,2021-02-28, Pimpri Chinchwad,18.6297811,73.7997094
2248,Nandanvan Apartment,550,1,1,2021-02-28, Warje Malwadi,18.4755101,73.8034283
2249,Global E Homes,1001,2,2,2021-02-28, Hinjewadi,18.5912716,73.73890899999999
2250,Tirupati Kashi Ganga,1025,2,2,2021-02-28, Siddartha Nagar,12.3037644,76.6866406
2251,Parshwa Gold County,850,2,2,2021-02-28, Charholi Budruk,18.6537243,73.90774739999999
2252,Vikram Midori Towers,1500,3,3,2021-02-28, Pimple Nilakh,18.5790232,73.7859912
2253,GK Jarvari,750,1,2,2021-02-28, Pimple Saudagar,18.5986763,73.79783479999999
2254,K b heights Mohan Nagar Chinchwad,560,1,1,2021-02-28, Mohan Nagar,28.672818,77.3862836
2255,surobhi township,615,1,1,2021-02-28, Vishrantwadi,18.5726054,73.8782079
2256,Polite Panaroma,880,2,2,2021-02-28, Dighi,18.6148698,73.8729867
2257,Venkatesh Graffiti,985,2,2,2021-02-28, Keshav Nagar,18.5323976,73.94406459999999
2258,Dhanraj Park Housing Society,525,1,1,2021-02-28, Kaspate Vasti,18.5901745,73.7727908
2259,Orient Park,500,1,1,2021-02-28, Hadapsar,18.508934,73.92591019999999
2260,TCG The Cliff Garden,550,1,1,2021-02-28, Phase-3 Hinjewadi,18.5868397,73.68599499999999
2261,Avishkar Pavilion Residency,950,2,2,2021-02-28, Mahalunge,18.57382,73.7561594
2262,Sai Paradise,890,2,2,2021-02-28, Punawale,18.6309399,73.7378149
2263,Majestique Vanalika,589,1,1,2021-02-28, Pirangut,18.5130169,73.67792709999999
2264,GK Roseland Residency,960,2,2,2021-02-28, Pimple Saudagar,18.5986763,73.79783479999999
2265,Saraswati Nagar,500,1,1,2021-02-28, Shivane,18.4661512,73.7821719
2266,S and P Living Spaces,520,1,1,2021-02-28, Shivane,18.4661512,73.7821719
2267,Rohan Mithila 1,1376,3,3,2021-02-28, Viman Nagar,18.5679146,73.91434319999999
2268,Kolte Patil City Avenue,1080,2,2,2021-02-28, Wakad,18.6010921,73.7641245
2269,Abhinav The One,1007,2,2,2021-02-28, Bhugaon,18.5011162,73.7507669
2270,Regency Cosmos,1605,3,3,2021-02-28, Baner,18.5590032,73.7867629
2271,prathmesh society,500,1,1,2021-02-27, Gultekadi,18.4877372,73.8704877
2272,GK Dwarka Queens Park,1325,3,3,2021-02-27, Rahatani,18.6047038,73.78712949999999
2273,Paranjape Blue Ridge,438,1,1,2021-02-27, Hinjewadi,18.5912716,73.73890899999999
2274,GK Peace Valley,931,2,2,2021-02-27, Pimple Saudagar,18.5986763,73.79783479999999
2275,Ganesh Nakshatram,830,2,2,2021-02-27, Dhayari,18.4471444,73.8101999
2276,Kohinoor Tinsel County,640,2,2,2021-02-27, Phase-3 Hinjewadi,18.5868397,73.68599499999999
2277,Goldfinger Avenir,1178,2,2,2021-02-27, Shankar Kalat Nagar,18.5993483,73.762495
2278,Megapolis Sparklet,988,2,2,2021-02-27, Hinjewadi,18.5912716,73.73890899999999
2279,Sona Cooperative Housing Society,580,1,1,2021-02-27, Pimpri Chinchwad,18.6297811,73.7997094
2280,Kalp Avenue,855,2,2,2021-02-27, Shankar Kalat Nagar,18.5993483,73.762495
2281,Rakesh Royale Residency,325,1,1,2021-02-27, Khandve Nagar,18.5756218,73.9586368
2282,Rakesh Royale Residency,300,1,1,2021-02-27, Khandve Nagar,18.5756218,73.9586368
2283,Gracia,1070,2,2,2021-02-27, Kharadi,18.5538241,73.9476689
2284,DSK Sundarban phase1,650,1,1,2021-02-27, Amanora,18.520408,73.93989630000002
2285,"Preet Apartments, Oxy Villa, Wagholi",600,1,2,2021-02-27, Oxy Villa,NAN,NAN
2286,Ambika Apartment,400,1,1,2021-02-27, Somatne Phata,18.7067306,73.69040919999999
2287,"Hermes paras.near adlabs cinema,",425,1,1,2021-02-27, Hermes Paras society.near gold adlabs.,18.5466157,73.9053711
2288,The Royal Mirage,942,2,2,2021-02-27, Wakad,18.6010921,73.7641245
2289,Welworth Paradise D Wing,543,1,2,2021-02-27, Baner,18.5590032,73.7867629
2290,Takshashila Society,500,1,1,2021-02-27, Choudhari Vasti Kharadi,18.5571141,73.9416492
2291,Sidhi Vinayak,613,1,1,2021-02-27, Bhugaon,18.5011162,73.7507669
2292,Kasturi La Vida Loca,1000,2,2,2021-02-27, Pimple Saudagar,18.5986763,73.79783479999999
2293,Nanded City Janaranjani,480,1,1,2021-02-27, Nandel Fata,18.4647402,73.8036752
2294,Mantri Housing Complex,440,1,2,2021-02-27, Dapodi,18.5852963,73.8333804
2295,Kalpataru Enclave,1700,3,3,2021-02-27, Wireless Colony,18.5635597,73.805881
2296,Rakshak Nagar gold Society,550,1,1,2021-02-27, Kharadi,18.5538241,73.9476689
2297,Moze Dream Savera,630,1,1,2021-02-27, Lohegaon,18.5944704,73.9275889
2298,Sahyog Apartment,1200,2,1,2021-02-27, Surynagari,18.1681628,74.5820863
2299,Kiran Sumriti,400,1,1,2021-02-27, Sangam Nagar,22.7366122,75.83378549999999
2300,Vrundavan Appartment,650,1,1,2021-02-27, Wadgaon Sheri,18.5512771,73.92098940000001
2301,Swapnashilp Housing Society Narhe,601,1,1,2021-02-27, Narhe,18.4464732,73.826375
2302,Runwal Seagull,850,2,2,2021-02-27, Hadapsar,18.508934,73.92591019999999
2303,Shivam,600,1,1,2021-02-27, Keshav Nagar,18.5323976,73.94406459999999
2304,Shri Vardhaman Vatika,751,2,2,2021-02-27, Thergaon,18.6142654,73.77507460000001
2305,Swapnapurti Phase 1,1200,3,3,2021-02-27, Nigdi,18.6491735,73.7706532
2306,Aarav Ambience,950,2,2,2021-02-27, Ubale Nagar,18.5664327,73.95775139999999
2307,Shri Mahalakshi Niwas,600,1,1,2021-02-27, Rajas Siciety,18.45329,73.8665954
2308,Vilas Javdekar Palash Boulevard,745,1,1,2021-02-27, Pirangut,18.5130169,73.67792709999999
2309,Vilas Javdekar Palash Boulevard,1049,2,2,2021-02-27, Pirangut,18.5130169,73.67792709999999
2310,Mont Vert Seville,1500,3,3,2021-02-27, Wakad Annexe,18.60286,73.74527599999999
2311,Honeydew Condominium,600,1,1,2021-02-27, Kasar Amboli,18.5110959,73.6635544
2312,Society,650,1,1,2021-02-27, Baner Pashan Link Road,18.5491105,73.7912815
2313,MHADA Maharashtra housing board,435,1,1,2021-02-27, Yerwada,18.5529226,73.879711
2314,Samrudhi Residency,600,1,1,2021-02-27, Narhe,18.4464732,73.826375
2315,Leisure Town,1015,2,2,2021-02-27, Sade Satra Nali,18.5127385,73.9499426
2316,Mahindra Antheia,600,1,2,2021-02-27, Pimpri Chinchwad,18.6297811,73.7997094
2317,Life Republic By Kolte Patil,650,1,1,2021-02-27, Hinjawadi,18.5912716,73.73890899999999
2318,Malkani Bon Vivant,525,1,1,2021-02-27, Keshav Nagar,18.5323976,73.94406459999999
2319,Shri Siddhivinayak Complex,685,2,2,2021-02-27, Shivane,18.4661512,73.7821719
2320,Ram India Sampanna Homes,1010,2,2,2021-02-27, Manjri,18.5234503,73.9853801
2321,Kalpataru Serenity,590,1,1,2021-02-27, Manjri BK,18.5029897,73.9712483
2322,Kolte Patil Western Avenue,1000,2,2,2021-02-27, Wakad,18.6010921,73.7641245
2323,Rainbow Glory,854,2,2,2021-02-27, Wagholi,18.5807719,73.9787063
2324,Kumar Primavera,1093,2,2,2021-02-27, Sainath Nagar,18.5404223,73.9286341
2325,Sai Nandan Group,600,1,2,2021-02-27, Abasaheb Raikar Nagar,18.4526817,73.81396889999999
2326,Thombre Heights,522,1,1,2021-02-27, Warje,18.4864727,73.79683399999999
2327,Kumbare Township,800,2,2,2021-02-27, Kothrud,18.5073514,73.8076543
2328,Dhruv House,735,1,1,2021-02-27, Ambegaon Pathar,18.4587777,73.8426415
2329,Sais Leela,1185,3,3,2021-02-27, Rahatani,18.6047038,73.78712949999999
2330,nul,640,1,1,2021-02-27, Wagholi,18.5807719,73.9787063
2331,Vardhman Town,624,1,1,2021-02-27, SASANENAGAR Hadapsar,18.4919553,73.9345125
2332,Om datta thakurji co.op hsg soc,700,2,1,2021-02-27, Bhusari Colony,18.5082124,73.7904396
2333,"Mittal Colony,",1200,2,2,2021-02-27," Pratik Nagar, Vishranthwadi",18.5657821,73.8832011
2334,urali valley phase 2,938,2,2,2021-02-27, Wagholi,18.5807719,73.9787063
2335,DS Park Royale,670,1,1,2021-02-27, Dighi,18.6148698,73.8729867
2336,Chandrakala Heights Apartment,890,2,2,2021-02-27, Hadapsar,18.508934,73.92591019999999
2337,"Sector 24, Plot 103, Nigdi",1100,2,2,2021-02-27, Nigdi,18.6491735,73.7706532
2338,Magarpatta City Jasminium,1208,2,2,2021-02-27, Magarpatta,18.5158057,73.9271644
2339,Paranjape Sunflower Residential,1050,2,2,2021-02-27, Baner,18.5590032,73.7867629
2340,Tyagi Windwards,1029,2,2,2021-02-27, Kaspate Vasti,18.5901745,73.7727908
2341,Magarpatta City Daffodils,915,2,2,2021-02-27, Magarpatta,18.5158057,73.9271644
2342,Krishna Contruction,800,1,2,2021-02-27, Ghorpadi,18.5235518,73.906346
2343,SHIVAM SEREN SCAPES,1000,2,2,2021-02-27, Shinde Vasti,18.645566,73.75587589999999
2344,Sankla PS Villa,550,1,1,2021-02-27, Manjri,18.5234503,73.9853801
2345,Vik,567,1,1,2021-02-27, Fursungi Gaon,18.4726725,73.9784573
2346,Sai Shanti Society,762,2,2,2021-02-27," Ramdara Road, Loni Kalbhor",18.465399,74.020854
2347,Sai Satyam Park,600,1,1,2021-02-27, Khandve Nagar,18.5756218,73.9586368
2348,Goyal Paradise Enclave,850,2,2,2021-02-27, Dhanori,18.5967587,73.896851
2349,Kalpavruksha,1023,2,2,2021-02-27, Kasar Amboli,18.5110959,73.6635544
2350,Mont Vert Vesta,725,2,2,2021-02-27, Pirangut,18.5130169,73.67792709999999
2351,Skyways Sereno,705,1,2,2021-02-27, Lohegaon,18.5944704,73.9275889
2352,Vijaydeep Deccan Gold,1460,3,3,2021-02-27, Tulaja Bhawani Nagar,18.5623787,73.94920789999999
2353,Kohinoor Falcon,1058,2,2,2021-02-27, Sus,40.7466478,-73.99335599999999
2354,Sukhwani Palm Breeze,910,2,2,2021-02-27, Pimple Saudagar,18.5986763,73.79783479999999
