,location,Area Sq.ft,bhk,bath_clean,dates,Title_modify,lat,longi
32,Saarrthi Sovereign,654,1,1,2021-03-16, Hinjewadi,18.5912716,73.73890899999999
33,Revu Estate,700,1,1,2021-03-16, Kundan Nagar,28.6422826,77.276792
34,RK Residency,1000,2,2,2021-03-16, Wakad,18.6010921,73.7641245
35,Kalpataru Serenity,1780,3,3,2021-03-16, Manjri,18.5234503,73.9853801
36,BU Bhandari The Boutique,500,1,1,2021-03-16, Sakal Nagar,18.5471748,73.8202184
37,Little earth masulkar city,500,1,1,2021-03-16, Kiwale,18.661162,73.728662
38,Vighnaharta Complex,620,1,1,2021-03-16, Narhe,18.4464732,73.826375
39,Morya Majestic,579,1,1,2021-03-16, Sukhsagar Nagar,18.4565105,73.8701119
40,Jai Ganesh Park,505,1,1,2021-03-16, Wagholi,18.5807719,73.9787063
41,Tapodham Society,450,1,1,2021-03-16, Warje,18.4864727,73.79683399999999
42,Platinum Towers,1500,3,2,2021-03-16, Wakad,18.6010921,73.7641245
43,Amit Plaza,815,2,2,2021-03-16, Hadapsar,18.508934,73.92591019999999
44,Gobind Ganesh Imperia,1036,2,2,2021-03-16, Postal Colony,28.4529949,-81.7836921
45,godashri apartment,900,1,1,2021-03-16, Wageshwar Nagar,18.5813621,73.98116639999999
46,ASMIT RESIDENCY,800,2,2,2021-03-16, UNDRI CHOWK,18.4507282,73.916294
47,Megapolis Sparklet,1000,2,2,2021-03-16, Phase-3 Hinjewadi,18.5868397,73.68599499999999
48,Yogeshwar Apartment,530,1,1,2021-03-16, Dhayri Phata,18.4471543,73.81020509999999
49,Unique Prospero,706,2,2,2021-03-16, Lohegaon,18.5944704,73.9275889
50,Lebberty Kolosus Green City,1334,3,2,2021-03-16, Chikhali,18.6824723,73.8196095
51,Hill Shire,735,1,1,2021-03-16, Wagholi,18.5807719,73.9787063
52,Blithe Icon,893,2,2,2021-03-16, Wagholi,18.5807719,73.9787063
53,Bora Ville,1170,2,2,2021-03-16, Kharadi,18.5538241,73.9476689
54,Manik Baugh Orchid,1250,2,2,2021-03-16, Pimpri Chinchwad,18.6297811,73.7997094
55,Nirmal Gangotri Apartments,525,1,1,2021-03-16, Guruvar Peth,18.5063909,73.8602841
56,Jaydeep Park,650,1,1,2021-03-16, Bhosari,18.6320627,73.84679779999999
57,Kakade Terrace Apartment,740,1,1,2021-03-16, Warje,18.4864727,73.79683399999999
58,Shejwal Park,550,1,1,2021-03-16, Kharadi,18.5538241,73.9476689
